sex,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income4,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,housing_debt_balance,housing_tenure,age,total_debt,type,case_id,dsr_actual
1.0,7.0,4.1,3.0,4.3,1.0,5931.4,12229.8,3377.0,16436.7,8405.2,21600.0,6125.6,200.0,0.0,0.0,0.0,26218.0,1.0,36.0,21800.0,CF2,31,5.0
1.0,7.0,1.0,1.3,2.0,1.0,3769.0,1719.4,0.0,33732.0,32664.0,69579.8,0.0,200.0,25510.7,2008.7,0.0,45129.6,2.3,24.1,122625.3,CF3,31,5.0
1.0,7.0,5.0,3.0,3.0,1.0,3769.0,512.0,0.0,27332.0,24056.0,10000.0,0.0,0.0,3400.0,0.0,0.0,10000.0,1.0,21.0,13400.0,original,35,5.0
1.0,7.0,5.0,3.0,3.0,1.0,3769.0,10160.2,0.0,27332.0,24056.0,10000.0,0.0,0.0,75885.6,0.0,0.0,48811.3,1.0,27.0,13400.0,CF1,35,5.0
1.0,3.6,5.0,3.0,3.0,1.0,3769.0,10160.2,0.0,27332.0,24056.0,10000.0,0.0,0.0,75885.6,0.0,0.0,48811.3,1.0,27.0,13400.0,CF2,35,5.0
1.0,7.0,5.0,3.0,3.0,1.0,3769.0,11031.1,0.0,9207.1,7546.4,13305.6,0.0,0.0,3400.0,0.0,0.0,10000.0,1.0,35.5,13400.0,CF3,35,5.0
2.0,7.0,5.0,2.0,9.0,1.0,3769.0,800.0,0.0,62220.0,60804.0,19000.0,0.0,3084.0,0.0,0.0,0.0,19000.0,1.0,23.0,22084.0,original,42,3.0
1.2,7.0,5.0,2.0,3.9,1.0,14115.1,6156.9,0.0,62220.0,60804.0,19000.0,0.0,3084.0,5353.6,0.0,0.0,5877.8,1.0,23.0,22084.0,CF1,42,3.0
1.2,7.0,5.0,2.0,3.9,1.0,14115.1,6156.9,0.0,62220.0,60804.0,19000.0,0.0,3084.0,5353.6,0.0,2193.7,5877.8,1.0,23.0,22084.0,CF2,42,3.0
1.5,7.0,5.0,2.0,4.8,1.0,3769.0,5125.6,0.0,62220.0,60804.0,60403.7,0.0,3084.0,58214.8,1731.3,0.0,19000.0,3.8,23.0,22084.0,CF3,42,3.0
2.0,6.0,5.0,3.0,9.0,1.0,3769.0,320.0,0.0,20573.0,18197.0,11000.0,0.0,0.0,0.0,0.0,0.0,9000.0,1.0,21.0,11000.0,original,45,2.6219
2.0,6.0,5.0,3.0,2.5,1.0,9330.9,3994.2,0.0,20573.0,18197.0,11000.0,0.0,0.0,0.0,0.0,0.0,9000.0,1.0,21.0,23047.6,CF1,45,2.6219
2.0,6.0,5.0,3.0,1.1,1.0,3769.0,7576.8,0.0,20573.0,18197.0,11000.0,0.0,0.0,0.0,1803.5,0.0,93982.2,1.0,21.0,11000.0,CF2,45,2.6219
1.7,6.0,3.4,3.0,5.3,1.0,3769.0,8174.2,0.0,20573.0,18197.0,11000.0,0.0,0.0,0.0,0.0,0.0,9000.0,1.0,21.0,11000.0,CF3,45,2.6219
