case_id,dsr_actual,pred_orig,pred_cf,dsr_reduction,n_changes,changed_features,achieved
1,0.6667,0.549,0.1745,0.3745,2,"h19_pers_income4, debt_card",1
3,0.4125,1.5193,0.1831,1.3362,1,h19_pers_income2,1
12,0.5801,0.2946,0.163,0.1316,1,h19_pers_income1,1
16,0.7675,0.142,0.1215,0.0205,1,employment_status,1
24,0.6891,3.2989,0.1919,3.1069,4,"employment_status, h19_pers_income2, debt_lease, housing_tenure",1
28,0.7166,0.1161,0.094,0.0221,2,"employment_status, employment_type",1
31,5.0,2.315,0.1682,2.1468,8,"h19_pers_income4, h19_cin, h19_din, debt_financial, debt_card, debt_lease, debt_credit, housing_tenure",1
35,5.0,2.1011,0.1872,1.9139,4,"employment_status, h19_pers_income2, debt_lease, total_debt",1
42,3.0,2.2636,0.0994,2.1642,7,"employment_status, h19_pers_income2, debt_financial, debt_card, debt_lease, debt_other, housing_debt_balance",1
45,2.6219,2.3694,0.1218,2.2476,4,"employment_status, h19_pers_income2, debt_card, housing_debt_balance",1
