Policy,Mean DSR reduction,CI lower (95%),CI upper (95%)
A-20 (Debt -20%),0.0781,0.0398,0.1255
A-40 (Debt -40%),0.1749,0.1096,0.2555
A-60 (Debt -60%),0.2879,0.1906,0.3861
B-20 (Income +20%),0.3502,0.2181,0.4953
B-40 (Income +40%),0.5126,0.3072,0.7445
B-60 (Income +60%),0.6381,0.4013,0.8665
C (A-40+B-40),0.6331,0.4029,0.8653
