sex,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income4,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,housing_debt_balance,housing_tenure,age,total_debt,type,case_id,cf_id,dsr_actual
1.0,3.5,1.0,3.0,2.0,1.0,3769.0,5125.1,0.0,6967.9,1843.2,21600.0,0.0,1160.2,104567.7,0.0,0.0,16600.0,5.6,36.0,21800.0,CF1,31,1,5.0
1.7,7.0,4.3,3.0,6.2,2.0,3769.0,5797.3,0.0,33732.0,11420.1,2157.3,0.0,200.0,9845.5,0.0,0.0,1973.0,1.0,36.0,21800.0,CF2,31,2,5.0
1.0,3.5,1.0,3.0,2.0,1.0,3769.0,5125.1,0.0,6967.9,1843.2,38712.6,0.0,1160.2,104567.7,0.0,0.0,16600.0,5.6,36.0,21800.0,CF3,31,3,5.0
1.0,7.0,5.0,3.0,3.0,1.0,3769.0,512.0,0.0,27332.0,24056.0,10000.0,0.0,0.0,3400.0,0.0,0.0,10000.0,1.0,21.0,13400.0,original,35,0,5.0
1.0,7.0,5.0,1.7,3.0,2.2,3769.0,5503.4,0.0,27332.0,24056.0,10000.0,0.0,0.0,115139.0,0.0,0.0,10000.0,1.0,21.0,13400.0,CF1,35,1,5.0
1.0,7.0,5.0,2.0,3.0,1.0,3769.0,1442.2,0.0,27332.0,24056.0,10000.0,0.0,0.0,107199.7,461.1,0.0,105621.4,1.0,21.0,13400.0,CF2,35,2,5.0
1.0,7.0,5.0,1.7,3.0,2.2,3769.0,5503.4,0.0,27332.0,24056.0,10000.0,3429.7,0.0,115139.0,0.0,0.0,10000.0,1.0,21.0,13400.0,CF3,35,3,5.0
2.0,7.0,5.0,2.0,9.0,1.0,3769.0,800.0,0.0,62220.0,60804.0,19000.0,0.0,3084.0,0.0,0.0,0.0,19000.0,1.0,23.0,22084.0,original,42,0,3.0
2.0,7.3,5.0,2.0,4.2,1.6,3769.0,6197.9,0.0,62220.0,26812.6,72629.5,0.0,521.2,13029.5,0.0,0.0,112975.9,1.0,23.0,22084.0,CF1,42,1,3.0
1.5,7.0,5.0,2.0,1.4,1.5,10454.9,8783.8,0.0,62220.0,60804.0,19000.0,0.0,4865.2,129940.9,1188.5,3116.9,48145.1,1.0,23.0,22084.0,CF2,42,2,3.0
1.5,7.0,3.0,2.0,6.1,1.0,9452.9,6872.6,0.0,62220.0,10606.7,80254.5,13775.2,3084.0,0.0,0.0,0.0,19000.0,1.0,36.9,5758.5,CF3,42,3,3.0
2.0,6.0,5.0,3.0,9.0,1.0,3769.0,320.0,0.0,20573.0,18197.0,11000.0,0.0,0.0,0.0,0.0,0.0,9000.0,1.0,21.0,11000.0,original,45,0,2.6219
2.0,6.0,5.0,3.0,2.4,1.0,3769.0,3910.9,0.0,20573.0,18197.0,11000.0,306.8,0.0,0.0,0.0,0.0,9000.0,1.0,27.0,11000.0,CF1,45,1,2.6219
2.0,6.0,5.0,3.0,7.5,1.0,3769.0,8503.8,0.0,20573.0,18197.0,11000.0,0.0,0.0,0.0,0.0,5042.8,94995.9,1.0,21.0,11000.0,CF2,45,2,2.6219
2.0,6.0,5.0,3.0,2.4,1.0,3769.0,3910.9,0.0,20573.0,18197.0,11000.0,0.0,0.0,0.0,0.0,0.0,9000.0,1.0,27.0,11000.0,CF3,45,3,2.6219
