Subgroup,N,Baseline mean DSR,Post-policy mean DSR,DSR reduction,Baseline crisis rate,Post-policy crisis rate
Employed,15,0.3813,0.3699,0.0114,53.3%,46.7%
Unemployed,13,0.5023,0.3403,0.162,46.2%,7.7%
Inactive,2,2.1875,0.9558,1.2317,100.0%,100.0%
