Percentile group,Cutoff (pred DSR),N,Policy,Mean DSR reduction,CI lower (95%),CI upper (95%),Significant
Top 10%,0.7318,39,A-20 (Debt -20%),0.1205,0.0649,0.1783,Yes
Top 10%,0.7318,39,A-40 (Debt -40%),0.2432,0.1397,0.3482,Yes
Top 10%,0.7318,39,A-60 (Debt -60%),0.4188,0.2746,0.5534,Yes
Top 10%,0.7318,39,B-20 (Income +20%),0.4755,0.2933,0.6428,Yes
Top 10%,0.7318,39,B-40 (Income +40%),0.6767,0.4391,0.9027,Yes
Top 10%,0.7318,39,B-60 (Income +60%),0.865,0.5592,1.1439,Yes
Top 10%,0.7318,39,C (A-40+B-40),0.8641,0.5865,1.1235,Yes
Top 20%,0.3938,77,A-20 (Debt -20%),0.0831,0.052,0.1188,Yes
Top 20%,0.3938,77,A-40 (Debt -40%),0.1674,0.1162,0.2332,Yes
Top 20%,0.3938,77,A-60 (Debt -60%),0.2693,0.1947,0.3494,Yes
Top 20%,0.3938,77,B-20 (Income +20%),0.3205,0.1975,0.4508,Yes
Top 20%,0.3938,77,B-40 (Income +40%),0.4678,0.3103,0.6288,Yes
Top 20%,0.3938,77,B-60 (Income +60%),0.5324,0.352,0.7197,Yes
Top 20%,0.3938,77,C (A-40+B-40),0.5888,0.4131,0.7684,Yes
Top 30%,0.2532,115,A-20 (Debt -20%),0.0637,0.0421,0.0881,Yes
Top 30%,0.2532,115,A-40 (Debt -40%),0.125,0.089,0.1642,Yes
Top 30%,0.2532,115,A-60 (Debt -60%),0.1989,0.1491,0.2574,Yes
Top 30%,0.2532,115,B-20 (Income +20%),0.2253,0.1429,0.3223,Yes
Top 30%,0.2532,115,B-40 (Income +40%),0.3382,0.225,0.4708,Yes
Top 30%,0.2532,115,B-60 (Income +60%),0.3862,0.2588,0.54,Yes
Top 30%,0.2532,115,C (A-40+B-40),0.4268,0.308,0.5695,Yes
